STYLE#,ITEM#,DESC1,DESC2,DESC3,DESC4,CAT,SUBCAT,VEND#,VENDOR PRODUCTION#,RMB.COST,ARB.COST2,FOB,QTY,UM,SELLPRC1,SELLPRC2,SELLPRC3,SELLPRC4,SELLPRC5,SELLPRC6,SEASON,WH,DUTY%,COMM%,MISC%,PC/CTN,GENDER
NK6489145,NK6489145,,,,,,,Le Yuyan,NK6489145,18,,2.4,150,DZ,5,5,5,6.5,,,,,,,,,
NK6489146,NK6489146,,,,,,,Le Yuyan,NK6489146,18,,2.4,150,DZ,5,5,5,6.5,,,,,,,,,
NK6489147,NK6489147,,,,,,,Le Yuyan,NK6489147,18,,2.4,150,DZ,5,5,5,6.5,,,,,,,,,
NK6489148,NK6489148,,,,,,,Le Yuyan,NK6489148,18,,2.4,150,DZ,5,5,5,6.5,,,,,,,,,
NK6489149,NK6489149,,,,,,,Le Yuyan,NK6489149,18,,2.4,150,DZ,5,5,5,6.5,,,,,,,,,
